date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:22	1541/1541	---M--	200	added ('OK')	text/plain	etag:%22605-5baa03ccaa340%22	https://www.cis.rit.edu/robots.txt		(from )
10:44:22	465/465	---M--	200	added ('OK')	text/html	etag:%221d1-57cec5e504c00%22	https://www.cis.rit.edu/htbooks/nmr/	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/index.html	(from )
10:44:22	909/909	---M--	200	added ('OK')	image/gif	etag:%2238d-47663f6f60200%22	https://www.cis.rit.edu/htbooks/nmr/images/icon.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/icon.gif	(from https://www.cis.rit.edu/htbooks/nmr/)
10:44:22	11721/11721	---M--	200	added ('OK')	image/gif	etag:%222dc9-3577758d1c840%22	https://www.cis.rit.edu/htbooks/nmr/images/title.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/title.gif	(from https://www.cis.rit.edu/htbooks/nmr/)
10:44:22	8285/8285	---M--	200	added ('OK')	image/gif	etag:%22205d-3577758d1c840%22	https://www.cis.rit.edu/htbooks/nmr/images/cover-sp.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/cover-sp.gif	(from https://www.cis.rit.edu/htbooks/nmr/)
10:44:22	478/478	---M--	200	added ('OK')	text/html	etag:%221de-47663d9fe3c80%22	https://www.cis.rit.edu/htbooks/nmr/inside.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/inside.html	(from https://www.cis.rit.edu/htbooks/nmr/)
10:44:23	1168/1168	---M--	200	added ('OK')	image/gif	etag:%22490-3577758d1c840%22	https://www.cis.rit.edu/htbooks/nmr/images/open.gif	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/images/open.gif	(from https://www.cis.rit.edu/htbooks/nmr/)
10:44:23	4510/4510	---M--	200	added ('OK')	text/html	etag:%22119e-5455fa8c13fc0%22	https://www.cis.rit.edu/htbooks/nmr/contents.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/contents.html	(from https://www.cis.rit.edu/htbooks/nmr/inside.htm)
10:44:23	331/331	---M--	200	added ('OK')	text/html	etag:%2214b-356b300ff5480%22	https://www.cis.rit.edu/htbooks/nmr/ribbon.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/ribbon.html	(from https://www.cis.rit.edu/htbooks/nmr/inside.htm)
10:44:23	1990/1990	---M--	200	added ('OK')	text/html	etag:%227c6-5455fa14de680%22	https://www.cis.rit.edu/htbooks/nmr/author.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/author.html	(from https://www.cis.rit.edu/htbooks/nmr/inside.htm)
10:44:24	7018/7018	---M--	200	added ('OK')	text/html	etag:%221b6a-5455fecd2c940%22	https://www.cis.rit.edu/htbooks/nmr/preface.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/preface.html	(from https://www.cis.rit.edu/htbooks/nmr/contents.htm)
10:44:24	6665/6665	---M--	200	added ('OK')	text/html	etag:%221a09-5455f771aad80%22	https://www.cis.rit.edu/htbooks/nmr/chap-1/chap-1.htm	D:/My%20Web%20Sites/The%20Basics%20of%20NMR/www.cis.rit.edu/htbooks/nmr/chap-1/chap-1.html	(from https://www.cis.rit.edu/htbooks/nmr/contents.htm)
